-60165,252118,48,-628,3134588,,,,,,
-55794,270507,39,-639,2522488,,,,,,
-51843,275928,33,-615,1685460,,,,,,
-48186,269640,27,-560,1150226,,,,,,
-44672,259608,23,-499,589714,,,,,,
-41176,247887,19,-437,175489,,,,,,
-37763,239275,14,-381,-62904,,,,,,
-34315,232237,10,-345,-182896,,,,,,
-30704,227873,6,-322,-213648,,,,,,
-26883,227122,1,-309,-161270,,,,,,
-22910,230308,-4,-306,-43410,,,,,,
-18786,236086,-10,-315,91127,,,,,,
-14584,244079,-16,-330,238614,,,,,,
-10271,251748,-23,-348,341701,,,,,,
-6199,258859,-30,-372,393502,,,,,,
-2240,262086,-36,-392,350092,,,,,,
1450,259142,-41,-395,203873,,,,,,
1643,260330,-41,-396,219659,,,,,,
1855,261776,-41,-398,201915,,,,,,
2226,263773,-42,-401,235081,,,,,,
2408,264505,-42,-401,273559,,,,,,
2588,254524,-42,-384,185058,,,,,,
2937,256054,-43,-387,235458,,,,,,
3107,256598,-43,-386,162525,,,,,,
3440,258094,-43,-386,161206,,,,,,
3600,258328,-44,-387,133961,,,,,,
3759,257606,-44,-384,96268,,,,,,
4068,258625,-44,-383,74337,,,,,,
4217,257534,-44,-380,168726,,,,,,
4365,258370,-44,-379,158010,,,,,,
4649,260419,-44,-381,172448,,,,,,
4788,260459,-44,-380,150181,,,,,,
5052,261582,-44,-379,159916,,,,,,
5180,250610,-44,-359,25319,,,,,,
5307,249536,-45,-357,4,,,,,,
5975,246138,-45,-343,-183169,,,,,,
7176,215178,-44,-272,-726426,,,,,,
7736,165188,-41,-164,-1448574,,,,,,
7720,129453,-37,-68,-1777229,,,,,,
7486,92376,-32,25,-1936565,,,,,,
7286,60820,-28,102,-1980732,,,,,,
7334,37580,-24,155,-1817216,,,,,,
7685,24003,-22,183,-1478665,,,,,,
8628,22548,-22,171,-1077955,,,,,,
10167,30528,-24,128,-576659,,,,,,
11710,45679,-27,67,-100174,,,,,,
13176,61013,-29,3,252312,,,,,,
14332,71039,-31,-42,393458,,,,,,
14961,73056,-31,-63,328852,,,,,,
14913,66349,-29,-55,82501,,,,,,
14192,49328,-26,-12,-281106,,,,,,
13038,24868,-20,44,-643088,,,,,,
12038,-1149,-15,109,-968428,,,,,,
11139,-21835,-12,172,-1094221,,,,,,
10744,-33036,-10,195,-1010387,,,,,,
11017,-33558,-11,177,-711518,,,,,,
11585,-22480,-12,128,-258883,,,,,,
11938,-7703,-13,72,113318,,,,,,
12277,1205,-14,37,269944,,,,,,
12344,8008,-14,3,323876,,,,,,
12236,9293,-14,-8,261899,,,,,,
12040,5974,-13,0,109328,,,,,,
11766,1230,-12,11,-12531,,,,,,
11423,-4096,-11,24,-107541,,,,,,
11088,-8564,-10,32,-161423,,,,,,
10794,-11973,-10,32,-185848,,,,,,
10755,-12378,-10,34,-191371,,,,,,
10736,-12734,-10,34,-187991,,,,,,
10718,-13072,-10,34,-202277,,,,,,
10684,-13556,-10,34,-201558,,,,,,
10658,-14026,-10,34,-207743,,,,,,
10642,-14498,-10,34,-220069,,,,,,
10598,-15091,-10,35,-213582,,,,,,
10578,-14498,-10,33,-204573,,,,,,
10538,-14883,-10,33,-206586,,,,,,
10513,-15230,-10,33,-209023,,,,,,
10492,-15632,-10,33,-211725,,,,,,
10440,-15980,-9,35,-208587,,,,,,
10413,-16384,-9,35,-207843,,,,,,
10390,-16692,-9,35,-204975,,,,,,
10330,-16995,-9,35,-212876,,,,,,
10307,-17461,-9,35,-218507,,,,,,
10252,-17866,-9,35,-217142,,,,,,
10221,-18382,-9,36,-219581,,,,,,
10192,-17770,-9,34,-211049,,,,,,
10042,-19017,-9,34,-204561,,,,,,
9453,-20567,-8,32,-166649,,,,,,
8900,-22764,-7,35,-161172,,,,,,
8326,-25862,-6,42,-172553,,,,,,
7692,-29848,-4,51,-195595,,,,,,
7057,-32641,-3,57,-191067,,,,,,
6458,-34861,-3,60,-173128,,,,,,
5971,-36211,-3,53,-145239,,,,,,
5505,-35498,-3,40,-78043,,,,,,
4903,-34291,-2,30,-25989,,,,,,
4368,-34244,-2,26,-13853,,,,,,
3849,-34809,-2,26,-17319,,,,,,
3359,-34468,-2,22,-1228,,,,,,
2865,-33659,-2,15,14868,,,,,,
2375,-33156,-2,9,17571,,,,,,
1755,-32890,-2,5,25993,,,,,,
939,-34344,-1,4,-2157,,,,,,
-120,-38284,1,14,-75371,,,,,,
-1506,-45963,2,38,-187025,,,,,,
-3142,-56462,5,67,-333869,,,,,,
-4871,-69060,9,96,-456111,,,,,,
-6632,-81019,13,133,-533546,,,,,,
-8094,-88514,16,164,-525894,,,,,,
-9347,-92160,19,179,-420142,,,,,,
-9970,-89400,19,174,-264983,,,,,,
-9865,-77528,18,141,65549,,,,,,
-9229,-56696,15,82,430085,,,,,,
-8279,-32013,11,11,799924,,,,,,
-7188,-5586,7,-60,1035591,,,,,,
-6397,14666,4,-115,1136079,,,,,,
-6326,16416,4,-119,1149959,,,,,,
-6236,18185,3,-125,1156838,,,,,,
-6202,19987,3,-130,1174844,,,,,,
-6166,21784,2,-137,1167783,,,,,,
-6100,23707,2,-144,1180417,,,,,,
-6072,22598,2,-136,1172260,,,,,,
-6029,24197,1,-142,1136409,,,,,,
-6012,25443,1,-145,1130151,,,,,,
-6002,26602,1,-149,1131740,,,,,,
-5989,27695,1,-152,1108050,,,,,,
-5991,28652,1,-155,1098740,,,,,,
-5993,29502,1,-157,1067158,,,,,,
-6008,30181,2,-156,1075350,,,,,,
-6025,31077,2,-159,1064005,,,,,,
-6040,31889,2,-161,1039974,,,,,,
-6077,32580,2,-163,1022852,,,,,,
-6101,33424,2,-165,1014085,,,,,,
-6159,30378,2,-155,944345,,,,,,
-6192,30491,2,-155,917207,,,,,,
-6383,29864,2,-153,773937,,,,,,
